ADM_CD,ADM_NM,dong_1_name,dong_1_code,dong_1_distance,dong_2_name,dong_2_code,dong_2_distance,dong_3_name,dong_3_code,dong_3_distance,dong_4_name,dong_4_code,dong_4_distance,dong_5_name,dong_5_code,dong_5_distance,dong_6_name,dong_6_code,dong_6_distance,dong_7_name,dong_7_code,dong_7_distance,dong_8_name,dong_8_code,dong_8_distance,dong_9_name,dong_9_code,dong_9_distance,dong_10_name,dong_10_code,dong_10_distance
11030530,남영동,청파동,11030710,808.0507728814364,후암동,11030510,828.4499406287276,원효로1동,11030720,1029.3023784605605,용산2가동,11030520,1131.998602823272,효창동,11030580,1234.1036564888254,이태원2동,11030660,1542.5266631279899,용문동,11030590,1590.0431099610619,한강로동,11030730,1742.8467628042506,이태원1동,11030650,2011.9161039092526,원효로2동,11030570,2275.9701364545244
11030570,원효로2동,용문동,11030590,703.9323134175082,이촌2동,11030640,1229.7360759459852,효창동,11030580,1244.7527272586537,원효로1동,11030720,1309.4439774363334,한강로동,11030730,1518.738458294803,청파동,11030710,1983.57459119443,남영동,11030530,2275.9701364545244,이촌1동,11030630,2683.8439345097977,용산2가동,11030520,2917.018429992029,후암동,11030510,3059.1866499548973
11030580,효창동,용문동,11030590,577.4903604875652,청파동,11030710,742.8442835754128,원효로1동,11030720,770.6387489981668,남영동,11030530,1234.1036564888254,원효로2동,11030570,1244.7527272586537,한강로동,11030730,1661.867622000668,후암동,11030510,1907.7529465003583,용산2가동,11030520,2200.7402781691153,이촌2동,11030640,2292.513832636355,이태원2동,11030660,2751.017982916411
11030590,용문동,효창동,11030580,577.4903604875652,원효로2동,11030570,703.9323134175082,원효로1동,11030720,712.7604511424142,청파동,11030710,1294.8459215837272,한강로동,11030730,1325.7513524838412,남영동,11030530,1590.0431099610619,이촌2동,11030640,1720.4001494904333,용산2가동,11030520,2347.260548589667,후암동,11030510,2358.6641845122995,이촌1동,11030630,2787.792747543125
11030650,이태원1동,용산2가동,11030520,880.1818951410731,이태원2동,11030660,937.7958187065336,보광동,11030700,986.8986664430495,한남동,11030740,1151.1595756332597,서빙고동,11030690,1570.1645334589628,남영동,11030530,2011.9161039092526,후암동,11030510,2148.0599991011204,한강로동,11030730,2228.1551401824427,원효로1동,11030720,2401.881595424636,이촌1동,11030630,2770.549612966635
11030690,서빙고동,보광동,11030700,1329.9599757771857,이태원1동,11030650,1570.1645334589628,이촌1동,11030630,1595.0368162311477,용산2가동,11030520,2055.7440118452155,한강로동,11030730,2081.957012600075,한남동,11030740,2450.438553628945,이태원2동,11030660,2470.4323382014695,원효로1동,11030720,2798.1812532793588,남영동,11030530,2979.0976811662945,이촌2동,11030640,3088.0623875665315
11030700,보광동,이태원1동,11030650,986.8986664430495,한남동,11030740,1239.5259618109276,서빙고동,11030690,1329.9599757771857,이태원2동,11030660,1826.026854598589,용산2가동,11030520,1857.3547083918827,한강로동,11030730,2865.644505659765,이촌1동,11030630,2884.567695082639,남영동,11030530,2987.3506170763676,후암동,11030510,3120.139882018601,원효로1동,11030720,3254.7289918043884
11030710,청파동,효창동,11030580,742.8442835754128,남영동,11030530,808.0507728814364,원효로1동,11030720,1119.3475980033545,후암동,11030510,1243.5736189672696,용문동,11030590,1294.8459215837272,용산2가동,11030520,1935.8382407081517,원효로2동,11030570,1983.57459119443,한강로동,11030730,2053.3774304113567,이태원2동,11030660,2319.0027723220983,이태원1동,11030650,2815.8603226076725
11030720,원효로1동,용문동,11030590,712.7604511424142,효창동,11030580,770.6387489981668,한강로동,11030730,945.7268440397635,남영동,11030530,1029.3023784605605,청파동,11030710,1119.3475980033545,원효로2동,11030570,1309.4439774363334,용산2가동,11030520,1637.1635475193455,후암동,11030510,1854.1978620594555,이촌2동,11030640,1956.7540900313575,이태원2동,11030660,2301.7592053287244
11030730,한강로동,원효로1동,11030720,945.7268440397635,용문동,11030590,1325.7513524838412,이촌2동,11030640,1449.0766797383499,원효로2동,11030570,1518.738458294803,이촌1동,11030630,1573.1550341443938,효창동,11030580,1661.867622000668,남영동,11030530,1742.8467628042506,용산2가동,11030520,1752.746837376679,청파동,11030710,2053.3774304113567,서빙고동,11030690,2081.957012600075
