ADM_CD,dong_name,통계청코드,도로명코드10,통계청코드8,도로명코드8,도로명코드,시도명,시군구,읍면동
11240820.0,서울특별시 송파구 위례동,1124082,1171064700,11240820.0,11710647,11710647,서울특별시,송파구,위례동
11220520.0,서울특별시 서초구 서초2동,1122052,1165052000,11220520.0,11650520,11650520,서울특별시,서초구,서초2동
11210660.0,서울특별시 관악구 서림동,1121066,1162066500,11210660.0,11620665,11620665,서울특별시,관악구,서림동
11210680.0,서울특별시 관악구 신사동,1121068,1162068500,11210680.0,11620685,11620685,서울특별시,관악구,신사동
11220560.0,서울특별시 서초구 반포본동,1122056,1165055000,11220560.0,11650550,11650550,서울특별시,서초구,반포본동
11240590.0,서울특별시 송파구 오륜동,1124059,1171056600,11240590.0,11710566,11710566,서울특별시,송파구,오륜동
11230520.0,서울특별시 강남구 논현1동,1123052,1168052100,11230520.0,11680521,11680521,서울특별시,강남구,논현1동
11150600.0,서울특별시 양천구 신월4동,1115060,1147059000,11150600.0,11470590,11470590,서울특별시,양천구,신월4동
11080630.0,서울특별시 성북구 정릉2동,1108063,1129063000,11080630.0,11290630,11290630,서울특별시,성북구,정릉제2동
11080640.0,서울특별시 성북구 정릉3동,1108064,1129064000,11080640.0,11290640,11290640,서울특별시,성북구,정릉제3동
11080780.0,서울특별시 성북구 장위3동,1108078,1129078000,11080780.0,11290780,11290780,서울특별시,성북구,장위제3동
11010690.0,서울특별시 종로구 창신3동,1101069,1111069000,11010690.0,11110690,11110690,서울특별시,종로구,창신제3동
11010700.0,서울특별시 종로구 숭인1동,1101070,1111070000,11010700.0,11110700,11110700,서울특별시,종로구,숭인제1동
11010710.0,서울특별시 종로구 숭인2동,1101071,1111071000,11010710.0,11110710,11110710,서울특별시,종로구,숭인제2동
11010720.0,서울특별시 종로구 청운효자동,1101072,1111051500,11010720.0,11110515,11110515,서울특별시,종로구,청운효자동
11010730.0,서울특별시 종로구 혜화동,1101073,1111065000,11010730.0,11110650,11110650,서울특별시,종로구,혜화동
11020520.0,서울특별시 중구 소공동,1102052,1114052000,11020520.0,11140520,11140520,서울특별시,중구,소공동
11020540.0,서울특별시 중구 회현동,1102054,1114054000,11020540.0,11140540,11140540,서울특별시,중구,회현동
11020550.0,서울특별시 중구 명동,1102055,1114055000,11020550.0,11140550,11140550,서울특별시,중구,명동
11020570.0,서울특별시 중구 필동,1102057,1114057000,11020570.0,11140570,11140570,서울특별시,중구,필동
11020650.0,서울특별시 중구 신당5동,1102065,1114065000,11020650.0,11140650,11140650,서울특별시,중구,신당제5동
11030690.0,서울특별시 용산구 서빙고동,1103069,1117069000,11030690.0,11170690,11170690,서울특별시,용산구,서빙고동
11030700.0,서울특별시 용산구 보광동,1103070,1117070000,11030700.0,11170700,11170700,서울특별시,용산구,보광동
11030710.0,서울특별시 용산구 청파동,1103071,1117055500,11030710.0,11170555,11170555,서울특별시,용산구,청파동
11030720.0,서울특별시 용산구 원효로1동,1103072,1117056000,11030720.0,11170560,11170560,서울특별시,용산구,원효로제1동
11030730.0,서울특별시 용산구 한강로동,1103073,1117062500,11030730.0,11170625,11170625,서울특별시,용산구,한강로동
11020670.0,서울특별시 중구 황학동,1102067,1114067000,11020670.0,11140670,11140670,서울특별시,중구,황학동
11020690.0,서울특별시 중구 신당동,1102069,1114061500,11020690.0,11140615,11140615,서울특별시,중구,신당동
11020700.0,서울특별시 중구 다산동,1102070,1114062500,11020700.0,11140625,11140625,서울특별시,중구,다산동
11020710.0,서울특별시 중구 약수동,1102071,1114063500,11020710.0,11140635,11140635,서울특별시,중구,약수동
11150640.0,서울특별시 양천구 신정1동,1115064,1147062000,11150640.0,11470620,11470620,서울특별시,양천구,신정1동
11020720.0,서울특별시 중구 청구동,1102072,1114064500,11020720.0,11140645,11140645,서울특별시,중구,청구동
11150720.0,서울특별시 양천구 신정4동,1115072,1147065000,11150720.0,11470650,11470650,서울특별시,양천구,신정4동
11020730.0,서울특별시 중구 동화동,1102073,1114066500,11020730.0,11140665,11140665,서울특별시,중구,동화동
11030630.0,서울특별시 용산구 이촌1동,1103063,1117063000,11030630.0,11170630,11170630,서울특별시,용산구,이촌제1동
11030640.0,서울특별시 용산구 이촌2동,1103064,1117064000,11030640.0,11170640,11170640,서울특별시,용산구,이촌제2동
11030660.0,서울특별시 용산구 이태원2동,1103066,1117066000,11030660.0,11170660,11170660,서울특별시,용산구,이태원제2동
11040560.0,서울특별시 성동구 행당1동,1104056,1120056000,11040560.0,11200560,11200560,서울특별시,성동구,행당제1동
11040570.0,서울특별시 성동구 행당2동,1104057,1120057000,11040570.0,11200570,11200570,서울특별시,성동구,행당제2동
11040580.0,서울특별시 성동구 응봉동,1104058,1120058000,11040580.0,11200580,11200580,서울특별시,성동구,응봉동
11040660.0,서울특별시 성동구 성수1가2동,1104066,1120066000,11040660.0,11200660,11200660,서울특별시,성동구,성수1가제2동
11040680.0,서울특별시 성동구 성수2가3동,1104068,1120069000,11040680.0,11200690,11200690,서울특별시,성동구,성수2가제3동
11040710.0,서울특별시 성동구 왕십리도선동,1104071,1120053500,11040710.0,11200535,11200535,서울특별시,성동구,왕십리도선동
11140740.0,서울특별시 마포구 상암동,1114074,1144074000,11140740.0,11440740,11440740,서울특별시,마포구,상암동
11140770.0,서울특별시 마포구 공덕동,1114077,1144056500,11140770.0,11440565,11440565,서울특별시,마포구,공덕동
11180520.0,서울특별시 금천구 독산1동,1118052,1154561000,11180520.0,11545610,11545610,서울특별시,금천구,독산제1동
11040720.0,서울특별시 성동구 금호2·3가동,1104072,1120061500,11040720.0,11200615,11200615,서울특별시,성동구,금호23가동
11050530.0,서울특별시 광진구 화양동,1105053,1121571000,11050530.0,11215710,11215710,서울특별시,광진구,화양동
11050540.0,서울특별시 광진구 군자동,1105054,1121573000,11050540.0,11215730,11215730,서울특별시,광진구,군자동
11160520.0,서울특별시 강서구 등촌1동,1116052,1150052000,11160520.0,11500520,11500520,서울특별시,강서구,등촌제1동
11050550.0,서울특별시 광진구 중곡1동,1105055,1121574000,11050550.0,11215740,11215740,서울특별시,광진구,중곡제1동
11110730.0,서울특별시 노원구 상계9동,1111073,1135071000,11110730.0,11350710,11350710,서울특별시,노원구,상계9동
11050560.0,서울특별시 광진구 중곡2동,1105056,1121575000,11050560.0,11215750,11215750,서울특별시,광진구,중곡제2동
11110610.0,서울특별시 노원구 중계1동,1111061,1135062100,11110610.0,11350621,11350621,서울특별시,노원구,중계1동
11050570.0,서울특별시 광진구 중곡3동,1105057,1121576000,11050570.0,11215760,11215760,서울특별시,광진구,중곡제3동
11050580.0,서울특별시 광진구 중곡4동,1105058,1121577000,11050580.0,11215770,11215770,서울특별시,광진구,중곡제4동
11050590.0,서울특별시 광진구 능동,1105059,1121578000,11050590.0,11215780,11215780,서울특별시,광진구,능동
11050600.0,서울특별시 광진구 구의1동,1105060,1121585000,11050600.0,11215850,11215850,서울특별시,광진구,구의제1동
11050620.0,서울특별시 광진구 구의3동,1105062,1121587000,11050620.0,11215870,11215870,서울특별시,광진구,구의제3동
