ADM_CD,행정동코드,total_all,solo_all,total_20,solo_20,total_30,solo_30,total_40,solo_40,total_50,solo_50,total_60,solo_60,total_70,solo_70,자치구,행정동명
11160630,1116063.0,22196.0,3756.0,3507.0,694.0,5409.0,1063.0,3983.0,534.0,4017.0,463.0,3333.0,503.0,1947.0,499.0,강서구,화곡8동
11160650,1116065.0,15624.0,4579.0,2719.0,741.0,2670.0,657.0,1721.0,359.0,3421.0,834.0,2832.0,877.0,2261.0,1111.0,강서구,가양2동
11160660,1116066.0,15374.0,3588.0,2401.0,326.0,3341.0,612.0,2226.0,435.0,2955.0,567.0,2448.0,678.0,2003.0,970.0,강서구,가양3동
11160730,1116073.0,44726.0,10978.0,8049.0,2675.0,10737.0,3039.0,7237.0,1501.0,8346.0,1349.0,6441.0,1208.0,3916.0,1206.0,강서구,화곡1동
11160740,1116074.0,35348.0,2949.0,5333.0,490.0,7150.0,728.0,8402.0,446.0,6606.0,375.0,4709.0,349.0,3148.0,561.0,강서구,우장산동
11170560,1117056.0,29974.0,6794.0,5335.0,1967.0,6678.0,1881.0,5503.0,1054.0,5961.0,760.0,4006.0,543.0,2491.0,589.0,구로구,구로5동
11170640,1117064.0,28785.0,2702.0,4157.0,196.0,6092.0,477.0,4845.0,342.0,5491.0,473.0,4902.0,506.0,3298.0,708.0,구로구,개봉2동
11170650,1117065.0,18142.0,2006.0,2746.0,172.0,3621.0,367.0,3493.0,313.0,3550.0,348.0,2845.0,369.0,1887.0,437.0,구로구,개봉3동
11170670,1117067.0,18998.0,4758.0,3298.0,1328.0,4113.0,1242.0,3066.0,575.0,3435.0,433.0,2762.0,474.0,2324.0,706.0,구로구,오류1동
11170690,1117069.0,20927.0,2411.0,3163.0,214.0,4320.0,389.0,3840.0,332.0,3972.0,376.0,3237.0,423.0,2395.0,677.0,구로구,수궁동
11170700,1117070.0,18232.0,6416.0,1990.0,993.0,2483.0,1109.0,3877.0,1112.0,5435.0,1526.0,3078.0,1034.0,1369.0,642.0,구로구,가리봉동
11170710,1117071.0,35952.0,7709.0,5198.0,965.0,5842.0,1335.0,7404.0,1535.0,8508.0,1656.0,5575.0,1219.0,3425.0,999.0,구로구,구로2동
11170720,1117072.0,29425.0,3741.0,4465.0,337.0,5330.0,519.0,5476.0,628.0,6085.0,668.0,4571.0,655.0,3498.0,934.0,구로구,개봉1동
11170730,1117068.0,36104.0,4782.0,5150.0,891.0,7820.0,1033.0,7391.0,531.0,6386.0,560.0,5206.0,660.0,4151.0,1107.0,구로구,오류2동
11180530,1118053.0,20095.0,4161.0,3370.0,397.0,3319.0,622.0,4100.0,790.0,4672.0,1081.0,2856.0,672.0,1778.0,599.0,금천구,독산2동
11180540,1118054.0,28514.0,6167.0,4344.0,891.0,4730.0,1039.0,5722.0,1117.0,7010.0,1450.0,4271.0,931.0,2437.0,739.0,금천구,독산3동
11180550,1118055.0,16921.0,3567.0,2734.0,383.0,2791.0,542.0,3580.0,684.0,3980.0,939.0,2446.0,589.0,1390.0,430.0,금천구,독산4동
11180580,1118058.0,19069.0,1916.0,2763.0,89.0,3162.0,206.0,4149.0,220.0,4046.0,387.0,2857.0,423.0,2092.0,591.0,금천구,시흥2동
11180590,1118059.0,10735.0,1479.0,1553.0,101.0,1773.0,274.0,1902.0,245.0,2262.0,252.0,1823.0,226.0,1422.0,381.0,금천구,시흥3동
11180600,1118060.0,20167.0,2981.0,3143.0,160.0,3249.0,375.0,3831.0,457.0,4417.0,702.0,3221.0,599.0,2306.0,688.0,금천구,시흥4동
11190540,1119054.0,26845.0,3291.0,3512.0,499.0,4994.0,843.0,5154.0,539.0,5128.0,258.0,4302.0,325.0,3755.0,827.0,영등포구,여의동
11190550,1119055.0,17966.0,4512.0,3123.0,1030.0,4219.0,1202.0,3079.0,651.0,3235.0,531.0,2484.0,486.0,1826.0,612.0,영등포구,당산1동
11190650,1119065.0,14531.0,2522.0,2089.0,295.0,2282.0,271.0,2899.0,353.0,3311.0,566.0,2257.0,472.0,1693.0,565.0,영등포구,신길3동
11190660,1119066.0,11487.0,2178.0,1788.0,319.0,1686.0,410.0,2219.0,316.0,2765.0,377.0,1814.0,320.0,1215.0,436.0,영등포구,신길4동
11190670,1119067.0,15217.0,2801.0,2195.0,450.0,2377.0,461.0,3106.0,448.0,3709.0,503.0,2347.0,411.0,1483.0,528.0,영등포구,신길5동
11190700,1119070.0,16616.0,3338.0,2563.0,610.0,2680.0,580.0,3258.0,563.0,3911.0,594.0,2583.0,476.0,1621.0,515.0,영등포구,대림1동
11190710,1119071.0,24002.0,5809.0,3330.0,1358.0,3866.0,1310.0,4872.0,1034.0,6358.0,953.0,3771.0,675.0,1805.0,479.0,영등포구,대림2동
11200630,1120063.0,21231.0,6901.0,4695.0,2437.0,5051.0,2218.0,2979.0,710.0,3730.0,582.0,2916.0,506.0,1860.0,448.0,동작구,사당1동
11220540,1122054.0,21660.0,1542.0,2878.0,307.0,3738.0,442.0,5524.0,287.0,4514.0,94.0,2766.0,113.0,2240.0,299.0,서초구,서초4동
11200650,1120065.0,20377.0,2666.0,3599.0,622.0,4199.0,629.0,3445.0,368.0,3845.0,328.0,3227.0,347.0,2062.0,372.0,동작구,사당3동
11200660,1120066.0,12878.0,2899.0,2234.0,819.0,2845.0,758.0,2151.0,361.0,2290.0,229.0,1877.0,286.0,1481.0,446.0,동작구,사당4동
11220570,1122057.0,26218.0,5244.0,4258.0,1592.0,5852.0,1815.0,6397.0,676.0,4664.0,472.0,2819.0,315.0,2228.0,374.0,서초구,반포1동
11200670,1120067.0,11146.0,2103.0,1913.0,554.0,2534.0,543.0,2094.0,300.0,2038.0,217.0,1475.0,207.0,1092.0,282.0,동작구,사당5동
11200690,1120069.0,23086.0,3219.0,3548.0,735.0,4070.0,704.0,5197.0,437.0,5148.0,456.0,3078.0,385.0,2045.0,502.0,동작구,신대방1동
11210540,1121054.0,13331.0,1626.0,1922.0,227.0,3165.0,325.0,2635.0,219.0,2290.0,201.0,1836.0,233.0,1483.0,421.0,관악구,청림동
11210570,1121057.0,26284.0,10226.0,7041.0,4525.0,6063.0,3122.0,3806.0,871.0,3947.0,602.0,3310.0,552.0,2117.0,554.0,관악구,행운동
11210580,1121058.0,19598.0,8021.0,8380.0,4494.0,4273.0,2153.0,2253.0,535.0,2019.0,297.0,1534.0,279.0,1139.0,263.0,관악구,낙성대동
11210620,1121062.0,23920.0,7609.0,5734.0,3097.0,5659.0,2500.0,4019.0,670.0,3453.0,450.0,2959.0,454.0,2096.0,438.0,관악구,인헌동
11210630,1121063.0,16175.0,4504.0,3853.0,1694.0,3820.0,1440.0,2207.0,482.0,2569.0,272.0,2064.0,259.0,1662.0,357.0,관악구,남현동
11210640,1121064.0,21648.0,8593.0,5511.0,3497.0,5266.0,2727.0,3150.0,909.0,3347.0,528.0,2531.0,469.0,1843.0,463.0,관악구,서원동
11210650,1121065.0,17707.0,5825.0,3612.0,2013.0,3700.0,1537.0,2980.0,641.0,3215.0,567.0,2434.0,483.0,1766.0,584.0,관악구,신원동
