ADM_CD,사업체수_2022,종사자수_2022,농업 임업 및 어업,광업,제조업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,건설업,도매 및 소매업,운수 및 창고업,숙박 및 음식점업,정보통신업,금융 및 보험업,부동산업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,교육 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업, 협회 및 단체 수리 및 기타 개인 서비스업,면적,금융기관_2022,금융기관_2023,유통업체수_2022,대형마트,백화점,전문점,쇼핑센터,복합쇼핑몰,그밖의 대규모점포,유통업체수_대형마트외,주택수_2020,단독주택수,일반단독주택,다가구주택,영업겸용주택,아파트,연립주택,다세대주택,비거주용건물내주택,대학교,기타대학
11060810.0,6889,29330,0,0,3229,2,35,1290,6611,644,1550,663,2332,828,2273,3206,1538,988,2943,590,608,1.61,0,0,4,1,0,1,0,0,2,3,8495,1942,533,1040,369,4446,345,1522,240,0.0,0.0
11060820.0,5243,12037,3,0,1021,3,66,550,5540,241,1051,124,233,371,396,173,105,432,1185,130,413,1.18,0,0,3,0,0,2,0,0,1,3,7896,2262,867,863,532,3113,158,2148,215,0.0,0.0
11060830.0,2971,7990,0,0,529,4,10,320,2012,952,1360,138,64,308,137,263,141,378,714,174,486,1.19,0,0,3,1,1,0,0,0,1,2,8308,2138,654,1231,253,4044,224,1804,98,0.0,0.0
11060840.0,1317,5330,0,0,200,1,0,111,663,199,396,52,35,157,282,27,138,2533,287,70,179,0.86,0,0,1,0,0,0,0,0,1,1,6437,489,190,249,50,5505,0,417,26,0.0,0.0
11060910.0,3834,9756,0,0,562,0,3,1661,1910,664,627,146,358,380,293,1242,64,612,810,136,288,0.81,0,0,1,0,0,0,0,0,1,1,9261,944,188,613,143,7743,32,474,68,0.0,0.0
11060860.0,2851,8187,0,0,586,0,1,493,2892,376,548,47,162,358,186,506,29,277,1150,141,435,0.85,0,0,0,0,0,0,0,0,0,0,9791,991,224,529,238,8184,45,459,112,0.0,0.0
11060870.0,6530,22708,0,0,3542,1,12,1897,5290,1065,1592,758,805,1196,883,2350,256,583,1458,330,690,1.25,0,0,2,0,0,0,0,0,2,2,11799,892,44,583,265,6878,867,2934,228,0.0,0.0
11060880.0,3859,11850,0,0,1755,2,72,399,2520,636,1317,104,87,377,237,301,676,1210,1484,240,433,1.09,0,0,2,0,0,0,0,0,2,2,9852,849,72,574,203,6061,637,2148,157,0.0,0.0
11060800.0,1887,8041,4,0,227,1,25,168,1090,187,726,102,161,251,1649,157,598,534,1550,224,387,1.2,0,0,1,0,0,0,0,0,1,1,6209,1507,383,922,202,3691,65,853,93,0.0,0.0
11060710.0,1348,11293,0,0,74,1,1,69,669,74,1403,166,60,113,175,75,40,4699,3248,139,287,0.76,0,0,2,0,0,0,0,0,2,2,3115,744,106,496,142,1577,50,652,92,1.0,0.0
11060720.0,1357,4214,0,0,212,0,2,95,1054,138,472,54,53,257,129,317,16,150,885,131,249,0.63,0,0,0,0,0,0,0,0,0,0,4327,913,181,640,92,2546,136,677,55,0.0,0.0
11060730.0,1737,6031,0,0,176,0,3,201,590,671,316,42,15,213,152,57,261,1041,2090,55,148,1.05,0,0,0,0,0,0,0,0,0,0,6802,994,137,741,116,4151,414,1191,52,1.0,1.0
11060890.0,1631,6700,0,0,134,0,2,139,600,288,884,148,58,182,415,53,64,2916,466,107,244,1.04,0,0,2,0,0,0,0,0,2,2,4948,1501,382,951,168,2232,281,837,97,1.0,1.0
11060900.0,1037,2412,0,0,154,0,32,152,408,508,222,44,8,144,36,36,23,233,281,22,109,0.69,0,0,1,0,0,0,0,0,1,1,6280,954,383,510,61,4862,20,395,49,0.0,0.0
