ADM_CD,total_all_2022,solo_all_2022,total_20_2022,solo_20_2022,total_25_2022,solo_25_2022,total_30_2022,solo_30_2022,total_35_2022,solo_35_2022,solo_20s_2022,solo_30s_2022,solo_all_ratio,solo_20s_ratio,solo_30s_ratio
11230530,18948.0,5653.0,1323.0,486.0,2208.0,873.0,2805.0,1374.0,2411.0,1097.0,679.5,1235.5,29.834283301667725,12.02016628338935,21.8556518662657
11160640,18656.0,8483.0,1535.0,839.0,1953.0,1654.0,2343.0,2448.0,2018.0,1531.0,1246.5,1989.5,45.47062607204116,14.694094070493929,23.452787928798774
11160670,28875.0,2166.0,2616.0,126.0,1914.0,111.0,2595.0,141.0,3580.0,133.0,118.5,137.0,7.501298701298702,5.470914127423822,6.325023084025855
11160690,17736.0,3899.0,1266.0,355.0,1883.0,519.0,2127.0,415.0,1747.0,442.0,437.0,428.5,21.983536310329274,11.208002051808156,10.989997435239806
11160700,32649.0,3541.0,2418.0,281.0,2577.0,336.0,3587.0,437.0,3928.0,422.0,308.5,429.5,10.845661429140248,8.712228184128778,12.129341993787065
11160710,20448.0,4531.0,1550.0,367.0,1903.0,506.0,2050.0,479.0,1848.0,383.0,436.5,431.0,22.158646322378715,9.63363495917016,9.5122489516663
11160720,21137.0,4098.0,1420.0,166.0,1818.0,244.0,2306.0,395.0,2204.0,341.0,205.0,368.0,19.387803377962815,5.002440214738897,8.979990239141046
11230600,14075.0,445.0,1200.0,38.0,786.0,30.0,561.0,49.0,804.0,59.0,34.0,54.0,3.161634103019538,7.640449438202247,12.134831460674157
11170510,27854.0,2403.0,1967.0,147.0,2258.0,198.0,3598.0,430.0,3627.0,384.0,172.5,407.0,8.62712716306455,7.178526841448189,16.937161880982103
11170520,17485.0,2301.0,1317.0,211.0,1618.0,285.0,2401.0,339.0,2244.0,301.0,248.0,320.0,13.159851301115241,10.777922642329422,13.906996957844415
11170540,23596.0,8532.0,1508.0,849.0,3515.0,2116.0,3943.0,2038.0,2968.0,1416.0,1482.5,1727.0,36.158670961179865,17.375761837787156,20.24144397562119
11170550,26109.0,5345.0,1533.0,334.0,2366.0,594.0,2910.0,718.0,2515.0,556.0,464.0,637.0,20.47186793825884,8.681010289990645,11.917680074836296
11170610,20474.0,2062.0,1783.0,129.0,1719.0,131.0,1896.0,173.0,1898.0,150.0,130.0,161.5,10.071309954088111,6.304558680892337,7.832201745877788
11170620,24117.0,2954.0,2131.0,133.0,1799.0,123.0,2034.0,222.0,2490.0,248.0,128.0,235.0,12.248621304474023,4.333107650643195,7.955314827352742
11180570,31151.0,5362.0,2300.0,376.0,2618.0,478.0,3083.0,599.0,3064.0,515.0,427.0,557.0,17.212930564026838,7.963446475195822,10.387914957105558
11130720,29334.0,4121.0,2508.0,368.0,2276.0,393.0,2751.0,506.0,2804.0,412.0,380.5,459.0,14.048544351264743,9.233195826255763,11.138073283183694
11130730,16089.0,3097.0,1619.0,505.0,1532.0,464.0,1502.0,356.0,1387.0,283.0,484.5,319.5,19.249176455963703,15.644171779141105,10.316435259928964
11130740,8285.0,1480.0,750.0,148.0,753.0,156.0,772.0,116.0,740.0,130.0,152.0,123.0,17.863608931804468,10.27027027027027,8.31081081081081
11130750,22500.0,10781.0,7128.0,4159.0,5015.0,2884.0,2431.0,1466.0,1361.0,754.0,3521.5,1110.0,47.91555555555556,32.66394583062795,10.295890919209722
11180610,18697.0,3495.0,1468.0,103.0,1421.0,117.0,1588.0,256.0,1489.0,206.0,110.0,231.0,18.692838423276463,3.1473533619456364,6.609442060085836
11150540,20450.0,2221.0,2099.0,155.0,1506.0,123.0,1570.0,292.0,1637.0,267.0,139.0,279.5,10.860635696821516,6.2584421431787485,12.584421431787481
11190560,29006.0,7085.0,2557.0,1037.0,4014.0,1794.0,4253.0,1442.0,3058.0,1072.0,1415.5,1257.0,24.425980831552092,19.978828510938605,17.741707833450953
11190610,13816.0,3461.0,868.0,325.0,1369.0,578.0,2081.0,659.0,1874.0,540.0,451.5,599.5,25.050665894614937,13.045362611961862,17.321583357411154
11190620,17164.0,3153.0,1317.0,339.0,1866.0,569.0,2401.0,686.0,1972.0,503.0,454.0,594.5,18.36984385924027,14.398985093561686,18.855058674278467
11190630,19749.0,7803.0,1539.0,723.0,2098.0,1277.0,2114.0,1514.0,1727.0,853.0,1000.0,1183.5,39.51086130943339,12.815583749839805,15.16724336793541
11190680,19987.0,3824.0,1499.0,423.0,1814.0,561.0,2002.0,555.0,1850.0,465.0,492.0,510.0,19.132436083454245,12.866108786610878,13.336820083682008
11190690,11742.0,1288.0,1059.0,142.0,1083.0,155.0,1199.0,162.0,1203.0,139.0,148.5,150.5,10.969170499063193,11.529503105590063,11.684782608695652
11140700,16227.0,2455.0,1281.0,243.0,1390.0,301.0,1832.0,338.0,1861.0,307.0,272.0,322.5,15.129105811302152,11.079429735234216,13.136456211812627
11190720,27148.0,4047.0,1805.0,188.0,2517.0,300.0,2849.0,436.0,2467.0,335.0,244.0,385.5,14.90717548254015,6.029157400543612,9.525574499629355
11190730,22642.0,2997.0,1570.0,233.0,1988.0,327.0,2322.0,369.0,2268.0,238.0,280.0,303.5,13.236463209963784,9.342676009342677,10.126793460126793
11190740,16870.0,7169.0,1167.0,769.0,2417.0,1686.0,2391.0,1392.0,1660.0,881.0,1227.5,1136.5,42.495554238292826,17.122332263914075,15.85297810015344
11190750,20507.0,4767.0,1290.0,325.0,2140.0,614.0,2554.0,738.0,2036.0,518.0,469.5,628.0,23.245720973326183,9.848961611076149,13.173903922802602
11190760,24175.0,3285.0,1486.0,223.0,1881.0,331.0,3080.0,520.0,3229.0,568.0,277.0,544.0,13.58841778697001,8.432267884322679,16.560121765601217
11200520,13554.0,3850.0,1073.0,325.0,1481.0,525.0,1491.0,603.0,936.0,355.0,425.0,479.0,28.40489892282721,11.03896103896104,12.44155844155844
11200530,40211.0,10854.0,5468.0,4050.0,5296.0,2705.0,4392.0,944.0,4026.0,718.0,3377.5,831.0,26.992613961353857,31.117560346416067,7.65616362631288
11200540,20490.0,3538.0,1784.0,540.0,2212.0,702.0,2489.0,478.0,2110.0,361.0,621.0,419.5,17.266959492435337,17.552289429055964,11.856981345392878
11200550,20687.0,4283.0,1701.0,546.0,2038.0,715.0,2393.0,657.0,2179.0,559.0,630.5,608.0,20.703823657369362,14.720989960308195,14.19565724959141
11200560,24207.0,4433.0,1982.0,476.0,2331.0,597.0,2819.0,714.0,2463.0,559.0,536.5,636.5,18.312884702771925,12.102413715316942,14.358222422738551
11200680,31122.0,6152.0,3168.0,984.0,2952.0,1014.0,2899.0,911.0,2916.0,799.0,999.0,855.0,19.767367135788188,16.238621586475944,13.897919375812744
11200700,16655.0,3464.0,1198.0,458.0,1579.0,668.0,1870.0,540.0,1827.0,464.0,563.0,502.0,20.798558991293906,16.252886836027713,14.491916859122403
11200710,31818.0,5111.0,5545.0,1395.0,3562.0,918.0,2824.0,425.0,2634.0,342.0,1156.5,383.5,16.06323464705513,22.62766581882215,7.503423987477989
11200720,30881.0,6040.0,2405.0,870.0,4156.0,1287.0,4665.0,945.0,2926.0,522.0,1078.5,733.5,19.558952106473235,17.85596026490066,12.144039735099337
11200730,25082.0,3297.0,1818.0,242.0,2282.0,332.0,3036.0,470.0,2673.0,364.0,287.0,417.0,13.144884777928395,8.70488322717622,12.647861692447679
11210520,21768.0,5405.0,1747.0,745.0,2270.0,983.0,2651.0,893.0,2146.0,650.0,864.0,771.5,24.830025725836087,15.985198889916743,14.27382053654024
11160540,28698.0,5389.0,2639.0,160.0,2499.0,174.0,2821.0,456.0,2241.0,318.0,167.0,387.0,18.77831207749669,3.098905177212841,7.181295231026165
11210820,20087.0,3275.0,1420.0,96.0,1501.0,112.0,1619.0,261.0,1623.0,240.0,104.0,250.5,16.304077263902027,3.17557251908397,7.64885496183206
11210830,27639.0,4662.0,2298.0,473.0,2493.0,565.0,2674.0,566.0,2589.0,503.0,519.0,534.5,16.867469879518072,11.132561132561133,11.465036465036466
11220660,35002.0,5290.0,2445.0,358.0,2805.0,469.0,4167.0,879.0,4607.0,832.0,413.5,855.5,15.113422090166276,7.81663516068053,16.17202268431002
11220670,18801.0,4389.0,1268.0,325.0,2052.0,595.0,2644.0,833.0,2249.0,639.0,460.0,736.0,23.34450295197064,10.480747322852586,16.769195716564138
11220680,13355.0,1556.0,934.0,113.0,942.0,127.0,1682.0,193.0,1750.0,181.0,120.0,187.0,11.65106701609884,7.712082262210797,12.017994858611825
