ADM_CD,사업체수_2022,종사자수_2022,금융기관_2023,유통업체수_2022,대형마트_2022,쇼핑업체수_2022,대학교,기타대학,면적
11140700.0,1984,4851,0,1,0,1,0.0,0.0,0.67
11140710.0,3112,8720,0,1,0,1,0.0,0.0,0.64
11140720.0,2479,10128,0,0,0,0,0.0,0.0,0.8
11140730.0,3483,12889,0,2,1,1,0.0,0.0,2.07
11140740.0,3848,49928,0,0,0,0,0.0,0.0,8.4
11150510.0,3879,22768,0,3,1,2,0.0,0.0,1.41
11150520.0,1997,5102,0,1,0,1,0.0,0.0,1.03
11150530.0,1910,5418,0,2,0,2,0.0,0.0,0.53
11150540.0,2029,4679,0,2,0,2,0.0,0.0,0.57
11150710.0,2291,10551,0,0,0,0,0.0,0.0,1.81
11150570.0,2163,5423,0,2,0,2,0.0,0.0,0.65
11150580.0,1575,4722,0,1,0,1,0.0,0.0,0.61
11150590.0,1387,5202,0,1,0,1,0.0,0.0,0.87
11150600.0,1561,3773,0,0,0,0,0.0,0.0,0.52
11150610.0,1298,4412,0,0,0,0,0.0,0.0,0.69
11150620.0,2067,3890,0,1,0,1,0.0,0.0,0.41
11150630.0,1659,5449,0,2,0,2,0.0,0.0,1.19
11150640.0,1526,6028,0,2,0,2,0.0,0.0,0.7
11150650.0,1558,4352,0,1,0,1,0.0,0.0,0.52
11150660.0,3383,10027,0,0,0,0,0.0,0.0,2.72
11150720.0,4577,17493,0,1,0,1,0.0,0.0,1.01
11150690.0,1016,7889,0,0,0,0,0.0,0.0,0.96
11150700.0,1898,6637,0,1,0,1,0.0,0.0,1.21
11160510.0,3239,15826,0,1,0,1,0.0,0.0,1.74
11160520.0,2792,18157,0,2,1,1,0.0,0.0,0.64
11160530.0,1219,3878,0,0,0,0,0.0,0.0,0.92
11160540.0,3373,22196,0,0,0,0,0.0,0.0,0.79
11160730.0,4125,10371,0,2,0,2,0.0,0.0,1.12
11160570.0,1285,2883,0,0,0,0,0.0,0.0,0.45
